input1,input2,target
0.95323,-0.177926,-0.169604
-0.933899,-0.309858,0.289375
0.268703,0.361411,0.0971121
0.0618692,-0.104434,-0.00646122
0.105786,0.185393,0.0196121
-0.838293,-0.260691,0.218536
-0.51568,0.60628,-0.312646
-0.0593987,0.966846,-0.0574294
-0.202351,0.632864,-0.128061
0.59669,-0.698565,-0.416827
0.0163976,0.391626,0.00642171
0.716718,-0.348082,-0.249477
-0.559518,0.422299,-0.236284
0.619002,-0.302668,-0.187352
-0.807647,0.881047,-0.711574
-0.204856,0.0355027,-0.00727294
0.67542,0.35138,0.237329
0.470432,-0.581857,-0.273724
0.0828959,0.391569,0.0324595
-0.5429,-0.65009,0.352934
0.964337,0.0332718,0.0320852
-0.478342,0.992507,-0.474758
0.930839,0.116587,0.108524
0.765273,-0.622586,-0.476448
-0.442257,0.400716,-0.177219
0.693322,0.712649,0.494095
-0.190984,0.77554,-0.148116
0.701857,0.87127,0.611507
0.570681,0.337977,0.192877
0.161373,-0.255434,-0.0412203
0.880267,0.947328,0.833901
-0.432158,-0.389272,0.168227
-0.0287725,-0.103152,0.00296793
0.988915,-0.64815,-0.640965
-0.963849,-0.0122126,0.0117711
-0.642355,-0.267062,0.171549
0.488341,0.44188,0.215788
-0.383878,0.0850805,-0.0326606
0.0176282,0.272665,0.00480659
-0.499076,0.179742,-0.0897048
0.957786,-0.0265157,-0.0253964
0.812198,-0.131211,-0.106569
-0.299843,0.290207,-0.0870165
0.337848,0.728335,0.246067
-0.539629,-0.00161324,0.00087055
0.144008,0.537108,0.0773481
-0.912792,0.989101,-0.902844
-0.060111,-0.440879,0.0265017
0.766988,0.495438,0.379995
0.906144,-0.338499,-0.306729
0.10553,0.144585,0.015258
0.960663,-0.849307,-0.815898
-0.388606,-0.618178,0.240228
-0.46305,-0.0294403,0.0136323
-0.254626,-0.210617,0.0536286
0.688426,0.860034,0.59207
-0.859168,-0.582163,0.500175
0.342287,-0.282706,-0.0967667
-0.491673,-0.409419,0.2013
-0.354898,0.69734,-0.247485
-0.726757,0.417822,-0.303655
0.10564,-0.40698,-0.0429933
-0.160438,-0.487586,0.0782275
0.223027,-0.836812,-0.186632
-0.98963,0.255789,-0.253136
-0.611452,-0.858118,0.524698
-0.206432,-0.898463,0.185472
0.773234,-0.944766,-0.730526
0.15773,-0.123052,-0.0194089
0.344052,-0.343695,-0.118249
-0.689917,0.963682,-0.66486
0.677867,0.720809,0.488613
-0.499497,-0.922331,0.460702
-0.393469,0.0741649,-0.0291816
-0.346698,0.655738,-0.227343
-0.456914,0.930504,-0.42516
-0.0854697,0.684046,-0.0584652
-0.61124,-0.177292,0.108368
0.399024,-0.723294,-0.288612
-0.734509,0.939074,-0.689758
0.42919,-0.917865,-0.393939
-0.202358,-0.132959,0.0269052
0.488085,-0.498279,-0.243203
-0.631333,-0.838254,0.529217
-0.143371,0.377,-0.0540509
-0.883613,0.830427,-0.733776
-0.115296,-0.520425,0.0600027
-0.812253,-0.634268,0.515186
0.869228,0.276541,0.240377
0.0333925,0.314223,0.0104927
-0.128654,0.460079,-0.0591911
-0.904568,0.132074,-0.11947
-0.682707,-0.759671,0.518633
-0.316241,-0.816402,0.258179
-0.811686,-0.377173,0.306146
0.959021,-0.649339,-0.62273
-0.965678,0.526729,-0.50865
0.613826,-0.307391,-0.188685
-0.0706524,0.299547,-0.0211637
-0.903882,0.898291,-0.81195
0.773361,-0.478213,-0.369831
-0.969391,0.866873,-0.840338
0.00207977,0.0787549,0.000163792
0.367928,0.231702,0.0852497
0.887783,0.888503,0.788798
0.734398,0.272807,0.200349
0.601899,0.354337,0.213275
0.146734,-0.742999,-0.109023
0.622408,0.641279,0.399137
0.251879,0.640854,0.161418
0.30297,-0.586631,-0.177731
-0.452078,-0.570822,0.258056
-0.245482,-0.922074,0.226352
0.236508,-0.326892,-0.0773124
0.311445,-0.229207,-0.0713854
0.363227,-0.318751,-0.115779
-0.478611,-0.00792509,0.00379303
0.385781,-0.303327,-0.117018
0.873296,-0.921627,-0.804854
-0.164108,0.935161,-0.153467
0.0959438,-0.153058,-0.014685
0.137041,0.151849,0.0208095
0.463296,-0.744621,-0.344979
-0.499967,0.161088,-0.0805387
0.734233,0.123733,0.0908492
-0.522806,0.35969,-0.188048
0.479818,-0.523528,-0.251198
-0.244542,0.0686549,-0.016789
-0.00687762,-0.220764,0.00151833
-0.40473,-0.80003,0.323796
-0.893029,0.917083,-0.818982
0.694286,-0.29019,-0.201475
0.913602,0.35354,0.322995
-0.0349581,-0.0139487,0.000487619
-0.833431,-0.816592,0.680573
0.204882,0.107406,0.0220056
-0.574544,0.892389,-0.512717
0.562592,-0.773071,-0.434924
0.861858,0.948496,0.817469
0.991862,-0.888258,-0.881029
0.474071,0.0918315,0.0435347
0.411663,0.937304,0.385853
0.37606,0.673928,0.253437
0.733737,0.676962,0.496712
-0.147817,-0.554847,0.0820159
-0.206697,0.783794,-0.162008
-0.70679,0.0266523,-0.0188376
-0.533544,0.162611,-0.08676
0.726277,0.76072,0.552493
-0.52663,0.815387,-0.429407
0.183777,-0.299564,-0.055053
0.416362,-0.036666,-0.0152664
-0.244025,0.410169,-0.100091
-0.502552,-0.339495,0.170614
-0.131096,-0.492636,0.0645827
-0.189596,0.142946,-0.027102
0.481948,0.53439,0.257548
0.645581,0.488423,0.315317
0.362079,-0.524987,-0.190087
-0.199554,-0.0445702,0.00889417
-0.834217,0.0567402,-0.0473337
-0.127328,0.604219,-0.0769341
0.955801,0.11201,0.107059
-0.354627,-0.913198,0.323845
0.849287,0.838231,0.711899
-0.49402,0.390822,-0.193074
-0.849131,-0.667569,0.566854
-0.566382,-0.411012,0.23279
0.991663,0.39385,0.390566
-0.231596,0.474201,-0.109823
0.830509,0.917405,0.761913
-0.884272,-0.210956,0.186543
-0.786488,-0.32868,0.258503
-0.66064,0.293697,-0.194028
-0.223463,-0.541211,0.120941
-0.468124,-0.27931,0.130752
-0.4801,-0.0935183,0.0448982
-0.935368,-0.440473,0.412004
-0.177587,0.205564,-0.0365054
-0.458085,-0.73363,0.336065
-0.847599,0.881064,-0.746789
-0.166722,0.162325,-0.0270632
0.838353,-0.834503,-0.699608
0.753323,0.103176,0.0777247
-0.670331,-0.17749,0.118977
0.555205,-0.0392598,-0.0217972
0.970572,-0.246522,-0.239267
0.499157,-0.214021,-0.10683
0.658328,0.138163,0.0909566
-0.872976,-0.926356,0.808687
-0.732296,-0.972656,0.712272
-0.849282,0.383429,-0.325639
0.0686925,0.499821,0.034334
0.826331,0.170299,0.140723
0.452242,0.514162,0.232526
-0.244299,-0.51783,0.126505
-0.589909,-0.497115,0.293253
-0.450536,-0.585545,0.263809
0.756441,0.513998,0.38881
-0.906207,-0.462655,0.419261
-0.955631,-0.00366962,0.0035068
-0.0475786,0.662743,-0.0315324
-0.384446,0.632771,-0.243266
0.935948,-0.823184,-0.770457
0.583636,0.179912,0.105003
-0.0399081,-0.158928,0.00634252
0.569337,0.278723,0.158687
0.610089,0.806302,0.491916
0.234527,0.960925,0.225363
0.216176,0.273289,0.0590784
0.109631,-0.817996,-0.0896779
0.452794,0.0948926,0.0429668
-0.0981791,0.820943,-0.0805994
-0.404081,0.0472045,-0.0190745
0.395284,0.592944,0.234381
-0.0813064,0.684183,-0.0556284
0.537835,-0.867528,-0.466587
-0.908277,0.241611,-0.21945
-0.305173,-0.581738,0.177531
0.1593,-0.316874,-0.0504779
0.0745268,-0.0797617,-0.00594439
0.169532,-0.199399,-0.0338046
0.395335,-0.639865,-0.252961
0.393003,-0.176678,-0.0694348
0.748635,0.0304721,0.0228125
0.946221,0.203871,0.192907
-0.552302,0.643581,-0.355451
-0.309835,-0.304762,0.0944257
-0.936391,0.0974306,-0.0912331
0.068847,-0.288017,-0.0198291
0.788435,-0.742503,-0.585415
-0.339801,-0.356834,0.121253
-0.815419,-0.0377092,0.0307488
0.375569,0.023314,0.00875604
-0.686045,-0.245428,0.168375
-0.99481,0.736602,-0.732779
-0.830966,0.194556,-0.16167
0.972514,0.0731813,0.0711698
0.848084,-0.527767,-0.44759
0.519911,0.0625315,0.0325108
0.441032,-0.875317,-0.386043
-0.704522,-0.733766,0.516954
0.374331,0.688881,0.25787
0.499232,-0.939056,-0.468807
0.73443,-0.291707,-0.214238
-0.205672,-0.790262,0.162535
0.47481,-0.635432,-0.30171
0.12793,0.68142,0.0871742
-0.821591,0.0706711,-0.0580628
-0.533567,-0.314146,0.167618
-0.0520601,-0.289791,0.0150866
0.297646,-0.0408358,-0.0121546
0.168399,0.473645,0.0797613
0.115485,0.173071,0.019987
0.128917,-0.242455,-0.0312566
-0.325106,0.799295,-0.259856
0.21511,-0.511294,-0.109985
-0.00350461,-0.339303,0.00118912
0.867384,-0.984931,-0.854313
-0.549334,-0.269286,0.147928
-0.0243804,0.701635,-0.0171061
-0.824225,0.61173,-0.504203
-0.888693,0.684628,-0.608424
-0.896729,-0.963515,0.864012
0.393923,0.994511,0.391761
0.793221,0.151997,0.120567
0.834791,-0.9894,-0.825942
0.950134,-0.0185024,-0.0175798
0.445792,0.641723,0.286075
0.436915,0.0700735,0.0306161
-0.046761,0.677165,-0.0316649
-0.589845,0.935988,-0.552088
0.421905,-0.600986,-0.253559
0.472494,0.05968,0.0281985
0.41446,0.535559,0.221968
-0.82542,0.0122079,-0.0100767
0.864029,-0.358716,-0.309941
0.187766,-0.261539,-0.0491082
-0.091464,0.0972062,-0.00889088
0.0978439,-0.596539,-0.0583677
0.369143,-0.824264,-0.304271
-0.72235,-0.994578,0.718434
-0.766608,-0.0536676,0.041142
0.212204,0.588579,0.124899
-0.786601,0.701455,-0.551765
0.491949,-0.182963,-0.0900087
0.865876,0.981859,0.850168
-0.589996,-0.241543,0.142509
0.852899,0.443193,0.377999
-0.903811,0.563029,-0.508872
0.655882,0.501004,0.328599
0.599074,0.650265,0.389557
-0.62719,-0.528617,0.331543
0.267517,0.815732,0.218222
-0.367607,0.176613,-0.0649243
0.365964,-0.0961028,-0.0351702
0.427565,0.799335,0.341768
0.248203,0.0795621,0.0197476
-0.122511,0.154973,-0.0189858
-0.289275,-0.217036,0.062783
0.063715,-0.866762,-0.0552257
-0.541949,0.0856986,-0.0464443
-0.136944,-0.334368,0.0457897
0.461098,0.387435,0.178646
-0.666538,0.757258,-0.504742
-0.00915275,0.482922,-0.00442007
0.146302,0.995385,0.145627
0.504806,0.413961,0.20897
0.557144,-0.713744,-0.397658
-0.590911,0.428128,-0.252986
-0.012037,0.509271,-0.00613011
-0.794168,0.0729627,-0.0579446
-0.242357,-0.0859996,0.0208426
0.207916,0.00457669,0.000951566
0.0797213,-0.027285,-0.0021752
-0.18209,0.543764,-0.0990138
-0.975594,0.196885,-0.19208
0.131017,0.432358,0.0566461
0.198059,0.653598,0.129451
0.91815,-0.314951,-0.289173
-0.545298,-0.152806,0.083325
-0.424141,0.229901,-0.0975102
0.823705,-0.721768,-0.594523
-0.798411,-0.487969,0.3896
0.452191,0.185926,0.084074
-0.795575,0.837501,-0.666295
0.580169,-0.953955,-0.553455
0.302734,0.542493,0.164231
-0.251129,-0.862157,0.216513
-0.845358,-0.791506,0.669106
0.680879,0.821372,0.559255
-0.754378,-0.528188,0.398454
-0.668959,-0.627358,0.419677
0.674982,-0.335707,-0.226596
-0.377111,-0.545209,0.205604
0.215789,-0.241389,-0.052089
0.488499,-0.58884,-0.287648
0.57558,0.207443,0.1194
-0.771465,-0.170991,0.131914
0.727036,0.84592,0.615015
-0.0685998,-0.038326,0.00262916
0.836909,0.174136,0.145736
-0.934307,0.825499,-0.771269
-0.503547,0.155264,-0.0781827
-0.668973,-0.932242,0.623645
-0.377054,0.560991,-0.211524
-0.444826,-0.559806,0.249016
-0.574638,0.0303474,-0.0174388
0.951083,-0.082022,-0.0780097
0.114611,0.721264,0.0826646
0.0701394,-0.631074,-0.0442632
-0.400808,-0.380126,0.152358
-0.205364,-0.146422,0.0300698
0.599564,-0.301226,-0.180604
-0.0635363,0.249952,-0.015881
-0.244548,0.67313,-0.164613
0.174907,-0.411911,-0.0720461
0.428118,0.0552955,0.023673
0.0689118,-0.0378241,-0.00260653
-0.0059761,0.530713,-0.00317159
-0.794037,-0.331274,0.263044
-0.848993,0.506492,-0.430009
-0.455396,0.794861,-0.361977
0.0531569,0.6015,0.0319739
0.957863,0.679578,0.650942
0.733988,-0.184031,-0.135076
0.103445,-0.492223,-0.0509181
-0.607774,0.0110158,-0.0066951
0.190098,-0.321458,-0.0611084
0.138887,0.774921,0.107626
0.113443,0.441626,0.0500995
0.61063,0.977458,0.596865
0.206395,0.6137,0.126665
0.925299,0.888819,0.822423
-0.717836,-0.187215,0.13439
-0.35202,-0.82615,0.290821
0.266482,0.471809,0.125728
0.696256,-0.754446,-0.525288
0.752888,0.285851,0.215214
0.407892,0.821248,0.334981
0.249523,-0.328268,-0.0819103
0.650215,-0.273882,-0.178082
-0.931544,0.661309,-0.616038
-0.309616,0.547669,-0.169567
-0.274484,0.722136,-0.198215
-0.560979,0.949095,-0.532422
0.559518,-0.771524,-0.431681
0.131553,0.970735,0.127703
-0.0578691,-0.635786,0.0367923
-0.0304433,0.0249153,-0.000758503
0.483374,0.397692,0.192234
-0.1949,-0.563954,0.109915
0.290108,-0.156592,-0.0454287
-0.735448,0.801145,-0.5892
0.382444,0.366368,0.140115
0.645168,0.0593234,0.0382735
0.630109,-0.00381849,-0.00240607
-0.865649,-0.189504,0.164044
-0.00507022,0.440405,-0.00223295
-0.786843,-0.719963,0.566497
-0.472632,-0.467003,0.220721
0.464369,-0.498539,-0.231506
0.266196,-0.0114523,-0.00304856
0.146589,0.676214,0.0991254
-0.191237,0.541823,-0.103617
-0.155928,-0.292257,0.0455711
0.917254,-0.631258,-0.579024
-0.819326,0.541972,-0.444052
-0.863501,0.674158,-0.582136
-0.125613,0.831027,-0.104388
0.443066,0.220809,0.097833
0.898614,-0.206701,-0.185745
0.908174,-0.729997,-0.662965
-0.0324901,-0.460178,0.0149512
0.0796856,-0.675972,-0.0538652
0.683059,0.692816,0.473234
0.910473,-0.690656,-0.628823
0.246665,-0.0515254,-0.0127095
-0.311233,-0.29692,0.0924111
-0.174413,0.409851,-0.0714833
0.196572,-0.080637,-0.015851
-0.848133,-0.844469,0.716222
-0.995321,0.935399,-0.931022
-0.989492,-0.793813,0.785471
-0.370807,0.614861,-0.227995
0.924198,0.580027,0.53606
0.38112,0.0426013,0.0162362
-0.82659,0.916342,-0.757438
0.516785,0.277899,0.143614
0.518072,0.448207,0.232203
0.274463,0.961154,0.263801
0.806728,0.29333,0.236637
0.38635,-0.896808,-0.346482
0.339835,-0.911669,-0.309817
0.176528,0.998707,0.176299
0.111613,-0.0535798,-0.00598021
-0.37429,-0.758955,0.284069
0.462047,-0.614802,-0.284068
-0.769436,-0.156475,0.120397
0.590684,0.490129,0.289511
-0.890235,-0.0897126,0.0798653
0.0448692,0.289093,0.0129714
0.300335,-0.270605,-0.0812722
0.121354,-0.0378762,-0.00459645
0.769997,0.0605303,0.0466081
-0.117936,-0.191029,0.0225291
0.144856,0.607954,0.0880655
0.076803,0.32331,0.0248312
0.475712,0.0403362,0.0191884
-0.146366,0.753331,-0.110262
-0.164988,-0.0761143,0.0125579
0.980683,-0.999525,-0.980217
-0.629054,-0.232072,0.145986
0.86518,-0.859941,-0.744003
-0.981029,-0.894632,0.87766
-0.822913,-0.924806,0.761035
-0.0404374,0.161514,-0.00653121
-0.456626,-0.203425,0.0928893
-0.816601,-0.327259,0.26724
0.0450384,0.464544,0.0209223
-0.993307,-0.0653785,0.0649409
-0.405994,0.705644,-0.286487
0.431107,0.178217,0.0768306
-0.445469,0.820678,-0.365586
-0.909799,-0.781065,0.710612
-0.21674,-0.751125,0.162799
0.912831,0.595979,0.544028
-0.482035,0.177108,-0.0853724
0.964661,0.768398,0.741244
0.201597,0.807448,0.162779
0.97837,0.486706,0.476178
-0.870027,-0.19684,0.171256
0.675651,-0.538862,-0.364083
0.661285,-0.759322,-0.502129
-0.906109,-0.231819,0.210053
-0.926536,0.914541,-0.847355
0.652411,0.601539,0.392451
0.259556,-0.567352,-0.14726
0.0365207,0.194548,0.00710504
0.050063,-0.479533,-0.0240069
0.0304958,-0.0176273,-0.00053756
0.992672,0.794872,0.789047
-0.0732385,0.245875,-0.0180075
0.495743,-0.93027,-0.461175
0.789843,0.720254,0.568887
-0.0851358,-0.21766,0.0185307
-0.454081,-0.0466463,0.0211812
-0.911247,0.704387,-0.64187
-0.929155,-0.341897,0.317676
0.863179,0.470425,0.406061
-0.437218,-0.494702,0.216293
-0.989836,0.391429,-0.38745
-0.902433,0.065205,-0.0588432
0.924244,-0.781062,-0.721892
0.78896,0.982951,0.775509
-0.876966,0.765813,-0.671592
0.032158,0.813027,0.0261454
0.142638,0.324224,0.0462466
0.0875578,0.728986,0.0638284
0.46782,0.0425206,0.019892
0.736322,-0.509429,-0.375104
-0.685319,-0.6792,0.465468
-0.331982,-0.52262,0.173501
0.860181,-0.788332,-0.678108
0.397981,-0.621557,-0.247368
0.763274,0.922631,0.70422
-0.06906,0.758143,-0.0523573
-0.98971,0.639894,-0.633309
-0.54275,0.817403,-0.443645
-0.99776,0.112363,-0.112112
0.513272,-0.482623,-0.247717
-0.613734,-0.831804,0.510506
-0.347133,0.119689,-0.0415479
-0.768312,-0.246609,0.189473
-0.981855,0.637359,-0.625794
-0.743103,-0.433314,0.321997
-0.963145,-0.135518,0.130524
0.680243,-0.215698,-0.146727
-0.641005,0.507398,-0.325245
0.577614,-0.652493,-0.376889
0.541708,0.894596,0.48461
-0.667245,0.541969,-0.361626
0.417144,-0.0528522,-0.022047
-0.884159,-0.850611,0.752076
0.704829,0.980297,0.690942
0.352105,-0.108083,-0.0380566
0.295147,0.188792,0.0557214
-0.232775,-0.868748,0.202223
0.643026,-0.256333,-0.164829
0.637571,-0.494983,-0.315587
-0.997941,-0.682123,0.680719
-0.0629212,0.888607,-0.0559122
-0.795613,0.70842,-0.563628
0.0540482,0.651842,0.0352309
-0.403251,0.679894,-0.274168
0.545646,-0.539893,-0.29459
-0.73733,0.736109,-0.542755
0.926473,-0.937395,-0.868472
0.46254,0.819049,0.378843
0.71472,0.929041,0.664004
0.520188,-0.115402,-0.060031
-0.376096,-0.358515,0.134836
0.448845,0.491674,0.220686
-0.599282,0.736246,-0.441219
0.429848,0.125501,0.0539462
-0.0569351,0.0864656,-0.00492293
-0.681509,-0.592598,0.40386
-0.817671,-0.692684,0.566388
-0.0926127,0.0607088,-0.00562241
-0.964276,0.593596,-0.57239
-0.411664,0.823672,-0.339076
0.935023,-0.629082,-0.588206
-0.0758054,-0.997536,0.0756187
0.196655,0.214613,0.0422046
-0.50492,0.116825,-0.0589875
-0.54892,-0.678349,0.372359
0.303039,-0.348149,-0.105503
0.180528,-0.133507,-0.0241016
0.968703,-0.700839,-0.678904
-0.0708028,0.360913,-0.0255537
-0.20891,0.9494,-0.198339
0.443775,0.313968,0.139331
0.514119,0.905297,0.46543
0.815637,0.448571,0.365871
0.498323,-0.708156,-0.352891
-0.794415,0.141809,-0.112655
-0.963265,-0.0352872,0.0339909
-0.579301,-0.307967,0.178405
0.551609,0.882475,0.486782
-0.855167,0.0684844,-0.0585656
0.765067,-0.834983,-0.638818
0.649028,-0.284397,-0.184582
-0.355811,0.954933,-0.339775
-0.598282,0.386388,-0.231169
0.642881,-0.917633,-0.589929
0.340771,0.9031,0.30775
-0.75156,0.792443,-0.595568
0.189553,0.233209,0.0442056
0.225888,-0.402328,-0.0908813
0.870404,0.894701,0.778751
0.250609,0.566845,0.142057
0.224516,-0.0312031,-0.00700559
0.32164,0.106003,0.0340948
0.194952,0.567665,0.110667
-0.0381923,-0.918492,0.0350793
-0.672001,-0.122786,0.082512
0.449653,0.186557,0.0838861
0.300588,-0.0414421,-0.012457
0.231484,-0.341965,-0.0791595
-0.0596348,0.488558,-0.0291351
0.743666,-0.132689,-0.0986765
-0.912677,-0.676655,0.617567
-0.958278,0.306526,-0.293737
-0.335371,0.0849573,-0.0284922
-0.0134463,-0.836947,0.0112538
-0.193477,-0.558878,0.10813
-0.1632,-0.592843,0.0967523
0.680905,-0.651613,-0.443687
0.921561,-0.168185,-0.154993
0.692491,0.25753,0.178337
0.470701,0.535448,0.252036
0.00968978,0.086601,0.000839145
0.0279917,0.176117,0.00492981
-0.941211,-0.20897,0.196685
0.212377,0.195447,0.0415086
0.585912,0.310019,0.181644
0.984267,-0.432291,-0.42549
-0.281698,-0.232306,0.06544
-0.0683744,0.671996,-0.0459473
-0.528416,0.552,-0.291686
-0.18938,0.203711,-0.0385787
0.265081,-0.254303,-0.0674108
0.0252304,-0.173938,-0.00438852
-0.861734,-0.125669,0.108293
-0.805213,-0.189958,0.152957
0.185837,0.15883,0.0295164
0.325243,-0.809477,-0.263276
0.304246,-0.375704,-0.114307
-0.201908,0.715972,-0.144561
-0.981939,0.176825,-0.173632
0.197428,-0.20668,-0.0408045
-0.525944,-0.530652,0.279093
0.767419,-0.115951,-0.0889832
-0.338221,-0.102445,0.034649
0.338781,-0.708487,-0.240022
-0.101132,0.175769,-0.0177759
0.897167,-0.494944,-0.444048
-0.281498,-0.241283,0.0679207
0.211076,-0.286536,-0.0604809
0.0670238,0.563581,0.0377733
0.410771,-0.107263,-0.0440604
0.728432,0.11628,0.0847025
0.0798117,-0.931624,-0.0743545
0.973386,-0.754058,-0.73399
-0.537738,-0.896606,0.482139
0.280006,-0.550598,-0.154171
-0.639979,-0.822889,0.526632
-0.793382,0.169341,-0.134352
0.376416,-0.205242,-0.0772563
-0.0402058,0.371935,-0.014954
-0.96524,-0.353739,0.341443
0.946195,0.160224,0.151604
-0.491551,0.0434601,-0.0213628
-0.314693,0.06449,-0.0202945
-0.748517,-0.734571,0.549839
-0.712915,0.87964,-0.627109
0.465798,-0.675236,-0.314524
-0.623302,0.461659,-0.287753
-0.687672,-0.530877,0.36507
0.926694,-0.489387,-0.453512
0.323265,0.957263,0.309449
-0.251406,-0.964968,0.242599
-0.511705,0.661754,-0.338623
0.729218,0.537039,0.391618
-0.77378,0.591021,-0.45732
0.837356,0.201219,0.168492
0.881751,0.653678,0.576381
0.333943,0.15437,0.0515509
-0.302853,-0.681425,0.206371
0.209908,-0.363777,-0.0763596
0.732877,0.986674,0.723111
0.504856,-0.819037,-0.413495
-0.422629,-0.781781,0.330403
0.301023,0.530382,0.159657
0.85135,-0.123655,-0.105274
0.802751,0.755782,0.606705
-0.365609,0.737801,-0.269746
-0.248655,-0.406261,0.101019
0.298149,-0.343238,-0.102336
0.260417,0.219664,0.0572042
0.126878,-0.239161,-0.0303442
0.0969994,0.192971,0.0187181
0.0913738,-0.111161,-0.0101572
-0.970666,0.174123,-0.169016
-0.663111,0.285152,-0.189087
0.518689,0.000890617,0.000461953
0.0847273,0.902957,0.0765051
0.694335,0.828473,0.575238
0.627533,-0.782163,-0.490833
-0.702016,0.0532476,-0.0373807
-0.507861,-0.0466091,0.0236709
-0.211269,0.0988285,-0.0208794
0.493751,0.430982,0.212798
0.0424683,0.644787,0.027383
-0.138276,0.793429,-0.109712
-0.857439,0.90932,-0.779687
0.309386,-0.239851,-0.0742066
-0.605692,-0.0416335,0.0252171
-0.610883,-0.667337,0.407665
0.234704,0.0461695,0.0108361
0.340192,0.859212,0.292297
0.0645204,0.161864,0.0104435
-0.820747,0.435272,-0.357248
-0.20019,0.95345,-0.190871
0.646348,0.0449621,0.0290612
-0.753555,0.718832,-0.541679
0.599562,-0.63083,-0.378222
-0.409443,0.586815,-0.240267
-0.629543,0.835505,-0.525986
-0.150945,-0.825922,0.124669
0.631497,-0.252981,-0.159757
0.0529984,-0.775391,-0.0410945
-0.994832,0.27597,-0.274544
0.0303503,0.187077,0.00567785
0.587488,0.293212,0.172258
-0.650453,-0.278455,0.181122
0.811782,0.539889,0.438273
0.113274,-0.48871,-0.0553582
-0.395879,0.463916,-0.183655
0.702349,0.342849,0.2408
0.61906,0.533312,0.330152
-0.700592,-0.15211,0.106567
-0.694032,-0.529529,0.36751
0.738519,-0.0542161,-0.0400396
0.0707162,-0.643108,-0.0454782
-0.375456,-0.539508,0.202562
-0.587628,0.275922,-0.162139
-0.486232,0.264031,-0.12838
-0.883091,-0.716451,0.632691
-0.450919,0.194094,-0.0875207
0.351682,-0.114566,-0.0402909
-0.108418,0.449034,-0.0486834
-0.968358,-0.31782,0.307763
0.637414,0.206439,0.131587
-0.325546,0.81105,-0.264034
0.545245,-0.470209,-0.256379
0.29058,0.191501,0.0556464
-0.197624,-0.266088,0.0525854
-0.312879,0.234312,-0.0733112
-0.11518,0.663726,-0.0764481
0.339205,-0.860137,-0.291763
0.280336,-0.457705,-0.128311
0.185624,0.360264,0.0668736
-0.538342,-0.0862827,0.0464496
-0.61935,-0.895322,0.554518
-0.243047,-0.274111,0.066622
0.990961,-0.107295,-0.106325
-0.332861,0.16095,-0.053574
-0.822465,0.923331,-0.759408
0.26992,0.509676,0.137572
-0.659044,-0.181044,0.119316
-0.154622,0.643613,-0.0995166
-0.997527,-0.398294,0.397309
0.962473,-0.0502269,-0.048342
-0.234947,-0.760342,0.17864
0.948329,-0.959947,-0.910346
0.47436,0.5372,0.254826
-0.512687,0.343117,-0.175911
-0.814142,-0.485905,0.395596
0.575804,0.729372,0.419976
